class,variable,value,period,deal,link,pub_date
A-4,PrincipalCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,PrincipalCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,PrincipalCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,PrincipalCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,PrincipalCarryoverShortfall,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,InterestCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,InterestCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,InterestCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,InterestCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,InterestCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,InterestCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,InterestCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,InterestCarryoverShortfall,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,EndingNotePrincipalBalance,6088788.81,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,EndingNotePrincipalBalance,353000000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,EndingNotePrincipalBalance,353000000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,EndingNotePrincipalBalance,74070000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,EndingNotePrincipalBalance,23450000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,EndingNotePrincipalBalance,19540000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,EndingNotePrincipalBalance,14520000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,EndingNotePrincipalBalance,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
all,EndingNumberofReceivables,60679,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
all,EndingAggregateReceivablesPrincipalBalance,858184637.07,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
all,EndingAggregateAmountFinanced,858184637.07,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,InitialNotePrincipalBalance,274000000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,InitialNotePrincipalBalance,353000000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,InitialNotePrincipalBalance,353000000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,InitialNotePrincipalBalance,74070000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,InitialNotePrincipalBalance,23450000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,InitialNotePrincipalBalance,19540000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,InitialNotePrincipalBalance,14520000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,InitialNotePrincipalBalance,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,BeginningNotePrincipalBalance,77459733.73,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,BeginningNotePrincipalBalance,353000000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,BeginningNotePrincipalBalance,353000000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,BeginningNotePrincipalBalance,74070000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,BeginningNotePrincipalBalance,23450000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,BeginningNotePrincipalBalance,19540000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,BeginningNotePrincipalBalance,14520000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,BeginningNotePrincipalBalance,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,NoteRate,0.83,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,NoteRate,1.38,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,NoteRate,1.7,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,NoteRate,1.99,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,NoteRate,2.35,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,NoteRate,2.48,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,NoteRate,3.02,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,NoteRate,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,PrincipalDistribution,35758226.68,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,PrincipalDistribution,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,PrincipalDistribution,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,PrincipalDistribution,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,PrincipalDistribution,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,PrincipalDistribution,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,PrincipalDistribution,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,PrincipalDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,InterestDistribution,57148.07,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,InterestDistribution,405950,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,InterestDistribution,500083.33,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,InterestDistribution,122832.75,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,InterestDistribution,45922.92,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,InterestDistribution,40382.67,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,InterestDistribution,36542,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,InterestDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,PassThroughDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,PassThroughDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,PassThroughDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,PassThroughDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,PassThroughDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,PassThroughDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,PassThroughDistribution,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,PassThroughDistribution,1787794.18,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,TotalDistribution,35815374.75,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,TotalDistribution,405950,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,TotalDistribution,500083.33,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,TotalDistribution,122832.75,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,TotalDistribution,45922.92,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,TotalDistribution,40382.67,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,TotalDistribution,36542,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,TotalDistribution,1787794.18,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,PrincipalCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,PrincipalCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,PrincipalCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,PrincipalCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,PrincipalCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,PrincipalCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,PrincipalCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,PrincipalCarryoverShortfall,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,InterestCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,InterestCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,InterestCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,InterestCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,InterestCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
C,InterestCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
D,InterestCarryoverShortfall,0,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
Certificates,InterestCarryoverShortfall,,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-1,EndingNotePrincipalBalance,41701507.05,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-2,EndingNotePrincipalBalance,353000000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-3,EndingNotePrincipalBalance,353000000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
A-4,EndingNotePrincipalBalance,74070000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
B,EndingNotePrincipalBalance,23450000,2017-06-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000031/aart2017-1_exx99xjunex2017.htm,2017-07-27T19:14:55Z
